+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
| 138 |                                                 |  3  |   F   |         Ir., Ardi Pujiyanta, M.T.         |      SAB2, SAB3     | 4.1.5.55 |
| 139 |                                                 |  3  |   G   |         Ir., Ardi Pujiyanta, M.T.         |      KAM7, KAM8     | 4.1.5.55 |
| 140 |                                                 |  3  |   H   |         Ir., Ardi Pujiyanta, M.T.         |     SAB10, SAB11    | 4.1.5.65 |
| 141 |                                                 |  3  |   I   |        Dwi Normawati, S.T., M.Eng.        |      SEL7, SEL8     | 4.1.5.65 |
| 142 |                                                 |  3  |   J   |         Ir., Ardi Pujiyanta, M.T.         |      SAB3, SAB4     | 4.1.5.61 |
| 143 |                                                 |  3  |   K   |          Drs., Tedy Setiadi, M.T.         |     KAM10, KAM11    | 4.1.5.58 |
| 144 |             Rekayasa Perangkat Lunak            |  3  |   A   |          Ali Tarmuji, S.T., M.Cs.         | KAM10, KAM11, KAM12 | 4.1.5.60 |
| 145 |                                                 |  3  |   B   |          Ali Tarmuji, S.T., M.Cs.         | RAB10, RAB11, RAB12 | 4.1.5.56 |
| 146 |                                                 |  3  |   C   |         Ir., Ardi Pujiyanta, M.T.         |   JUM3, JUM4, JUM5  | 4.1.5.61 |
| 147 |                                                 |  3  |   D   |         Ir., Ardi Pujiyanta, M.T.         |   KAM3, KAM4, KAM5  | 4.1.5.60 |
| 148 |                                                 |  3  |   E   |         Taufiq Ismail, S.T., M.Cs.        | KAM10, KAM11, KAM12 | 4.1.5.65 |
| 149 |                                                 |  3  |   F   |         Taufiq Ismail, S.T., M.Cs.        |   SAB7, SAB8, SAB9  | 4.1.5.61 |
| 150 |                                                 |  3  |   G   |          Ali Tarmuji, S.T., M.Cs.         |   SEL1, SEL2, SEL3  | 4.1.5.58 |
| 151 |                                                 |  3  |   H   |          Ali Tarmuji, S.T., M.Cs.         |   SAB3, SAB4, SAB5  | 4.1.5.60 |
| 152 |                                                 |  3  |   I   |         Ir., Ardi Pujiyanta, M.T.         | SEL10, SEL11, SEL12 | 4.1.5.59 |
| 153 |                                                 |  3  |   J   |         Ir., Ardi Pujiyanta, M.T.         |   SEL7, SEL8, SEL9  | 4.1.5.60 |
| 154 |                                                 |  3  |   K   |          Ali Tarmuji, S.T., M.Cs.         |   SEL4, SEL5, SEL6  | 4.1.5.61 |
| 155 |                   Rekayasa Web                  |  3  |   A   |        Dinan Yulianto, S.T., M.Eng.       |      SEN4, SEN5     | 4.1.5.58 |
| 156 |                                                 |  3  |   B   |        Dinan Yulianto, S.T., M.Eng.       |      SEN7, SEN8     | 4.1.5.59 |
| 157 |                                                 |  3  |   C   |       Fiftin Noviyanto, S.T., M.Cs.       |      JUM3, JUM4     | 4.1.5.60 |
| 158 |                                                 |  3  |   D   |           Supriyanto, S.T., M.T.          |      KAM2, KAM3     | 4.1.5.65 |
| 159 |                                                 |  3  |   E   |        Dinan Yulianto, S.T., M.Eng.       |      RAB2, RAB3     | 4.1.5.59 |
